Year,All,Panulirus argus,Panulirus argus_2,Panulirus argus_3,Lutjanus synagris,Lobatus gigas,Lobatus gigas_2,Ocyurus chrysurus
1950,437652275.2,16532,4040,0.19,52710.2,153636,34,52710.223
1951,543912704.8,16532,4040,0.19,52710.2,153636,34,52710.223
1952,406652721.5,16532,4040,0.19,52710.2,153636,34,52710.223
1953,341019069.6,16532,4040,0.19,52710.2,153636,34,52710.223
1954,364484081.5,16532,4040,0.19,52710.2,153636,34,52710.223
1955,336906159.1,16532,4040,0.19,52710.2,153636,34,52710.223
1956,481422747.1,16532,4040,0.19,52710.2,153636,34,52710.223
1957,328101292.8,16532,4040,0.19,52710.2,153636,34,52710.223
1958,362403232.7,16532,4040,0.19,52710.2,153636,34,52710.223
1959,448860499.8,16532,4040,0.19,52710.2,153636,34,52710.223
1960,697635200.5,16532,4040,0.19,52710.2,153636,34,52710.223
1961,587663097,16532,4040,0.19,52710.2,153636,34,52710.223
1962,408836411.6,16532,4040,0.19,52710.2,153636,34,52710.223
1963,349012701.7,16532,4040,0.19,52710.2,153636,34,52710.223
1964,490358757.3,16532,4040,0.19,52710.2,153636,34,52710.223
1965,481322464.8,16532,4040,0.19,52710.2,153636,34,52710.223
1966,742752304.3,16532,4040,0.19,52710.2,153636,34,52710.223
1967,592926119.2,16532,4040,0.19,52710.2,153636,34,52710.223
1968,747280062.5,16532,4040,0.19,52710.2,153636,34,52710.223
1969,566041801.7,16532,4040,0.19,52710.2,153636,34,52710.223
1970,1194656033,16532,4040,0.19,52710.2,153636,34,52710.223
1971,552018679.7,16532,4040,0.19,52710.2,153636,34,52710.223
1972,773169371.6,16532,4040,0.19,52710.2,153636,34,52710.223
1973,1083150947,55666,4040,0.19,52710.2,153636,34,52710.223
1974,704045089.3,57685,4040,0.19,52710.2,153636,34,52710.223
1975,662366236,53633,4040,0.19,52710.2,153636,34,52710.223
1976,1007987412,52280,4040,0.19,52710.2,153636,34,52710.223
1977,761830012,49408,4837,0.42,143530.4,153636,34,52710.223
1978,932919881.5,50585,4837,0.62,143530.4,153636,34,52710.223
1979,1203489133,46364,4837,0.89,143530.4,153636,34,52710.223
1980,695787992.1,47034,4837,0.64,143530.4,153636,34,52710.223
1981,1531186148,47368,4837,0.63,143530.4,153636,34,143530.36
1982,1830168703,45847,4837,0.44,133162.7,153636,34,133162.73
1983,1307874499,49047,4837,0.57,149621.5,153636,34,149621.47
1984,1115380939,48873,4837,0.41,159020,153636,34,159020
1985,787436671.1,47352,4837,0.19,169358.4,153636,34,169358.39
1986,1171431362,46167,4837,0.26,158992.1,153636,34,158992.08
1987,943736879.3,45657,4837,0.26,174978.9,153636,34,174978.89
1988,1069758608,43123,4837,0.2,176845.3,153636,34,176845.31
1989,850483434.4,41938,4837,0.3,159892.1,153636,34,159892.06
1990,1013413224,33331,4837,0.43,158937.6,153636,34,158937.58
1991,846263261.5,32821,4040,0.58,133512.4,153636,34,133512.36
1992,1062091881,31806,9375,0.72,145262.5,153636,34,145262.52
1993,1419190318,31464,9625,0.51,90188.7,153636,34,90188.7
1994,1156004908,36183,10398,0.56,118410.9,153636,34,118410.89
1995,794080464.3,39215,12411,0.37,124984.6,153636,34,124984.55
1996,757443872,43090,10347,0.22,115091.5,191141,34,115091.49
1997,876660589.7,44605,10185,0.27,97665,153636,34,97664.99
1998,916891986.3,46288,10868,0.4,88709.1,195578,34,88709.13
1999,947466120.7,47633,11808,0.31,80690.5,241818,34,80690.47
2000,1678767438,44593,13763,0.37,66564.8,209684,34,66564.75
2001,1816872046,36155,14486,0.42,74082.3,189353,34,74082.25
2002,1498628583,36320,11941,0.22,69359.1,220557,34,69359.055
2003,1920520664,31424,13566,0.38,71229.5,227069,34,71229.45
2004,1197759262,30240,12199,0.39,69336.5,193858,34,69336.45
2005,1068065621,26524,9508,0.48,65557.1,228294,34,65557.1
2006,1480901489,26014,8921,0.48,63661.4,241246,34,63661.44
2007,1086391473,22500,7877,0.48,57998.4,238091,34,57998.39
2008,1011119168,18416,7338,0.48,61265.9,258563,37,61265.945
2009,1432091213,20098,7158,0.48,54661.7,312316,322,54661.71
2010,1045411975,18408,6335,0.48,60767.4,280172,607,60767.438
2011,932531063.5,18741,7235,0.48,63575,292056,676,63575.03
2012,830886008.2,17219,6895,0.48,55092.4,292056,1080,55092.42
2013,1101042971,17215,7589,0.48,53666,292056,955,53666.027
2014,1017025026,16874,9455,0.48,52710.2,292056,865,52710.223
2015,1219535067,16532,9542,0.48,52710.2,292056,685,52710.223
2016,1219535067,16532,10854,0.48,52710.2,292056,555,52710.223
2017,1219535067,16532,11453,0.48,52710.2,292056,757,52710.223
2018,1219535067,16532,11606,0.48,52710.2,292056,902,52710.223
2019,1219535067,16532,13341,0.48,52710.2,292056,983,52710.223
